org,repo,workflow,fork,archived,stars,visibility,ref,ref_type,ref_resolved_to,ref_resolved_type,workflow_type,workflow_url,jobs_count,workflow_status,parent_workflows,event_triggers
bensmith83,friendly-enigma,.github/workflows/als-aggregator.yml,0,0,0,local,claude/integrate-butler-scanner-8Iid0,branch,9fad768e66e691fdf11d4a32e976f4e102e0cf53,commit,workflow,https://github.com/bensmith83/friendly-enigma/blob/9fad768e66e691fdf11d4a32e976f4e102e0cf53/.github/workflows/als-aggregator.yml,1,,,"schedule,workflow_dispatch"
bensmith83,friendly-enigma,.github/workflows/check-action-pinning.yml,0,0,0,local,claude/integrate-butler-scanner-8Iid0,branch,9fad768e66e691fdf11d4a32e976f4e102e0cf53,commit,workflow,https://github.com/bensmith83/friendly-enigma/blob/9fad768e66e691fdf11d4a32e976f4e102e0cf53/.github/workflows/check-action-pinning.yml,1,,,"pull_request,push"
bensmith83,friendly-enigma,.github/workflows/cybersecurity-jobs.yml,0,0,0,local,claude/integrate-butler-scanner-8Iid0,branch,9fad768e66e691fdf11d4a32e976f4e102e0cf53,commit,workflow,https://github.com/bensmith83/friendly-enigma/blob/9fad768e66e691fdf11d4a32e976f4e102e0cf53/.github/workflows/cybersecurity-jobs.yml,1,,,"schedule,workflow_dispatch"
bensmith83,friendly-enigma,.github/workflows/deploy-pages.yml,0,0,0,local,claude/integrate-butler-scanner-8Iid0,branch,9fad768e66e691fdf11d4a32e976f4e102e0cf53,commit,workflow,https://github.com/bensmith83/friendly-enigma/blob/9fad768e66e691fdf11d4a32e976f4e102e0cf53/.github/workflows/deploy-pages.yml,2,,,"push,pull_request,workflow_run,workflow_dispatch"
bensmith83,friendly-enigma,.github/workflows/generate-science-facts.yml,0,0,0,local,claude/integrate-butler-scanner-8Iid0,branch,9fad768e66e691fdf11d4a32e976f4e102e0cf53,commit,workflow,https://github.com/bensmith83/friendly-enigma/blob/9fad768e66e691fdf11d4a32e976f4e102e0cf53/.github/workflows/generate-science-facts.yml,1,,,"schedule,workflow_dispatch"
bensmith83,friendly-enigma,.github/workflows/generate-scifi.yml,0,0,0,local,claude/integrate-butler-scanner-8Iid0,branch,9fad768e66e691fdf11d4a32e976f4e102e0cf53,commit,workflow,https://github.com/bensmith83/friendly-enigma/blob/9fad768e66e691fdf11d4a32e976f4e102e0cf53/.github/workflows/generate-scifi.yml,1,,,"schedule,workflow_dispatch"
bensmith83,friendly-enigma,.github/workflows/scrape-papers.yml,0,0,0,local,claude/integrate-butler-scanner-8Iid0,branch,9fad768e66e691fdf11d4a32e976f4e102e0cf53,commit,workflow,https://github.com/bensmith83/friendly-enigma/blob/9fad768e66e691fdf11d4a32e976f4e102e0cf53/.github/workflows/scrape-papers.yml,1,,,"schedule,workflow_dispatch"
